City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,dikson,73.5069,80.5464,277.28,100,100,3.37,RU,1690650574
84,kodiak,57.79,-152.4072,286.88,88,100,6.17,US,1690650574
85,arenapolis,-14.4503,-56.8461,307.01,28,70,2.77,BR,1690650547
86,san patricio,28.017,-97.5169,308.12,41,86,4.28,US,1690650576
87,clyde river,70.4692,-68.5914,278.22,74,76,1.66,CA,1690650577
88,ancud,-41.8697,-73.8203,284.94,88,99,8.87,CL,1690650577
89,touros,-5.1989,-35.4608,302.34,53,20,6.76,BR,1690650514
90,hobyo,5.3505,48.5268,298.01,85,24,10.01,SO,1690650578
91,songjianghe,42.1859,127.479,291.1,98,100,1.93,CN,1690650595
92,kuminskiy,58.6667,66.5667,291.04,77,51,1.91,RU,1690650595
93,geraldton,-28.7667,114.6,288.38,94,100,3.09,AU,1690650596
94,nata,8.3333,-80.5167,307.08,64,20,0.45,PA,1690650597
95,hithadhoo,-0.6,73.0833,300.22,80,100,5.79,MV,1690650599
96,merrill,45.1805,-89.6835,298.02,64,40,3.6,US,1690650600
97,mbaiki,3.8678,17.9892,296.7,91,74,0.76,CF,1690650601
98,kruisfontein,-34.0033,24.7314,286.42,50,85,10.01,ZA,1690650601
99,moba,33.2288,105.0179,289.1,89,0,1.08,CN,1690650609
100,zhezkazgan,47.8043,67.7144,302.16,36,61,2.87,KZ,1690650611
101,ceres,37.5949,-120.9577,303.33,27,0,2.57,US,1690650613
102,bone,51.9669,12.1396,298.21,59,97,3.57,DE,1690650615
103,quelimane,-17.8786,36.8883,294.46,80,1,3.48,MZ,1690650615
104,nowy targ,49.4778,20.0323,294.46,93,90,2.67,PL,1690650616
105,sao joao da barra,-21.6403,-41.0511,296.2,70,100,7.58,BR,1690650617
106,progreso,21.2833,-89.6667,307.65,63,81,5.55,MX,1690650617
107,bara,10.3744,10.7288,305.38,46,69,4.45,NG,1690650618
108,tiksi,71.6872,128.8694,275.06,88,44,2.39,RU,1690650618
109,samarai,-10.6167,150.6667,298.3,82,100,6.47,PG,1690650619
110,vaini,-21.2,-175.2,285.24,94,20,1.03,TO,1690650619
111,saint george,37.1041,-113.5841,308.94,25,0,3.09,US,1690650619
112,high level,58.5169,-117.136,294.21,52,20,2.06,CA,1690650620
113,esperance,-33.8667,121.9,287.77,75,91,5.28,AU,1690650621
114,tiznit,29.5833,-9.5,304.23,37,0,3.64,MA,1690650621
115,carballo,43.213,-8.691,295.24,84,66,2.81,ES,1690650622
116,lavrentiya,65.5833,-171.0,282.53,84,51,2.44,RU,1690650622
117,acapulco,16.8634,-99.8901,305.05,58,0,4.12,MX,1690650623
118,severo-kurilsk,50.6789,156.125,284.21,89,98,1.57,RU,1690650623
119,kurmanayevka,52.5093,52.0675,294.28,84,100,1.67,RU,1690650624
120,kapoeta,4.7717,33.5903,303.07,40,83,2.19,SS,1690650624
121,thunder bay,48.4001,-89.3168,291.82,55,62,1.89,CA,1690650630
122,provideniya,64.3833,-173.3,283.21,96,96,2.34,RU,1690650630
123,nanortalik,60.1432,-45.2371,280.41,78,96,4.24,GL,1690650631
