City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
445,haines junction,60.7522,-137.5108,6.970000000000027,93,72,0.51,CA,1690727231
446,ardakan,32.31,54.0175,40.210000000000036,11,0,6.06,IR,1690727231
447,lewiston,44.1003,-70.2148,20.79000000000002,66,100,4.63,US,1690727154
448,japura,-0.3167,102.35,24.810000000000002,88,47,1.45,ID,1690727232
449,mananjary,-21.2167,48.3333,22.220000000000027,70,0,3.53,MG,1690727233
450,zhigalovo,54.8097,105.1578,19.590000000000032,71,96,0.88,RU,1690727233
451,kavaratti,10.5669,72.642,28.170000000000016,77,4,6.58,IN,1690727234
452,maturin,9.75,-63.1767,29.140000000000043,70,99,1.67,VE,1690726936
453,hirara,24.8,125.2833,28.920000000000016,89,40,3.09,JP,1690727235
454,husavik,66.0449,-17.3389,12.090000000000032,80,100,1.9,IS,1690727235
455,kapit,2.0167,112.9333,25.80000000000001,79,100,0.65,MY,1690727235
456,ishinomaki,38.4167,141.3,25.140000000000043,89,98,2.1,JP,1690727236
457,palmdale,34.5794,-118.1165,27.49000000000001,34,0,2.57,US,1690727226
458,vardo,70.3705,31.1107,10.990000000000009,93,75,4.63,NO,1690727237
459,tiarei,-17.5333,-149.3333,24.010000000000048,79,96,8.88,PF,1690727237
460,garden city,42.3256,-83.331,23.950000000000045,64,75,2.06,US,1690727238
461,albacete,38.8333,-2.0,35.660000000000025,20,0,2.57,ES,1690727239
462,saint anthony,45.0205,-93.218,21.950000000000045,68,0,3.09,US,1690727240
463,khvastovichi,53.4694,35.0941,24.27000000000004,38,38,3.39,RU,1690727240
464,podgorenskiy,50.405,39.6429,25.49000000000001,47,47,4.45,RU,1690727240
465,katangli,51.7102,143.2326,12.150000000000034,99,100,1.86,RU,1690727241
466,inhambane,-23.865,35.3833,24.99000000000001,73,20,6.69,MZ,1690727242
467,auki,-8.7676,160.7034,23.930000000000007,96,100,1.82,SB,1690727242
468,turukhansk,65.8167,87.9833,22.760000000000048,63,100,3.14,RU,1690727242
469,urucui,-7.2294,-44.5561,35.170000000000016,29,5,4.65,BR,1690727243
470,nalut,30.3333,10.85,45.360000000000014,6,1,5.17,LY,1690727243
471,otradnoye,59.7775,30.8181,23.860000000000014,38,29,1.92,RU,1690727244
472,belaya gora,68.5333,146.4167,2.8700000000000045,85,24,4.37,RU,1690727244
473,lorengau,-2.0226,147.2712,27.410000000000025,77,7,3.06,PG,1690727245
474,maniitsoq,65.4167,-52.9,5.230000000000018,87,96,4.97,GL,1690727245
475,murray bridge,-35.1167,139.2667,13.960000000000036,93,0,3.07,AU,1690727246
476,belmonte,-15.8631,-38.8828,23.510000000000048,81,100,3.19,BR,1690727247
477,dakar,14.6937,-17.4441,30.07000000000005,66,40,8.75,SN,1690727099
478,adrar,20.5022,-10.0711,39.620000000000005,19,69,6.6,MR,1690727249
479,lubao,14.9167,120.55,25.840000000000032,90,100,1.94,PH,1690727249
480,awbari,26.5921,12.7805,43.31,7,0,3.21,LY,1690727250
481,shache,38.4167,77.2406,29.890000000000043,23,86,2.92,CN,1690727250
482,elk city,35.412,-99.4043,29.970000000000027,48,0,3.09,US,1690727100
483,petropavlovskoye,52.0712,84.107,23.610000000000014,57,42,1.33,RU,1690727251
484,naryan-mar,67.6713,53.087,29.24000000000001,52,11,6.18,RU,1690727251
485,jimenez,28.3333,-105.4,25.04000000000002,44,90,1.77,MX,1690727252
486,kisanga,-7.4362,37.7034,30.660000000000025,39,18,1.24,TZ,1690727252
487,madison,34.7334,-86.5667,26.33000000000004,77,40,1.54,US,1690726996
488,bengkulu,-3.8004,102.2655,25.379999999999995,88,100,4.05,ID,1690727010
489,bukama,-9.2,25.85,36.80000000000001,12,18,1.43,CD,1690727254
